"X1"	"X2"	"X3"	"X4"
"1"	0.853	0.814	0.825	0.876
"2"	0.847	0.891	0.82	0.949
"3"	0.851	0.91	0.831	0.921
"4"	0.854	0.896	0.891	0.932
"5"	0.901	0.883	0.809	0.921
"6"	0.879	0.862	0.825	0.96
"7"	0.859	0.858	0.803	0.938
"8"	0.879	0.896	0.847	0.881
"9"	0.868	0.844	0.852	0.927
"10"	0.878	0.877	0.77	0.881
"11"	0.932	0.883	0.787	0.864
"12"	0.846	0.89	0.743	0.858
"13"	0.861	0.887	0.809	0.898
"14"	0.863	0.891	0.874	0.932
"15"	0.918	0.926	0.912	0.927
"16"	0.81	0.826	0.869	0.938
"17"	0.82	0.784	0.739	0.876
"18"	0.797	0.894	0.891	0.91
"19"	0.848	0.784	0.82	0.91
"20"	0.913	0.849	0.76	0.904
"21"	0.908	0.85	0.79	0.893
"22"	0.933	0.863	0.814	0.876
"23"	0.918	0.874	0.852	0.893
"24"	0.893	0.864	0.765	0.91
"25"	0.867	0.87	0.84	0.898
"26"	0.821	0.758	0.793	0.923
